"rank","name_full","peer","recruit","gmat","score","usnews_score","usnews_rank"
79,"University of Utah (Eccles)",2.8,3.1,621,66.7,39,79
80,"University of Colorado - Boulder (Leeds)",3,3,616,66.4,40,77
81,"University of Connecticut",2.8,2.9,625,66.2,43,68
81,"Fordham University (Gabelli)",2.9,3.3,605,66.2,37,83
83,"University of Oklahoma (Price)",2.8,2.8,628,66,44,63
84,"University of Arkansas - Fayetteville (Walton)",3,2.5,630,65.5,44,63
85,"Louisiana State University - Baton Rouge (Ourso)",2.7,2.8,626,65.3,45,62
86,"Iowa State University",2.5,3,613,63.9,42,71
87,"St. Louis University (Cook)",2.7,3.8,567,63.3,33,88
87,"University of Houston (Bauer)",2.6,3,605,63.3,31,92
89,"Binghamton University - SUNY",2.3,2.8,621,63,33,88
90,"University of Kansas",2.8,2.7,604,62.5,33,88
91,"CUNY Bernard M. Baruch College (Zicklin)",2.7,2.4,615,61.9,36,85
92,"University of Mississippi",2.5,2.6,604,60.7,31,92
93,"Rochester Institute of Technology (Saunders)",2.6,2.8,536,53.7,36,85
94,"Howard University",2.3,2.7,494,46.6,32,91
